"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ120125","6414.115","2872.044","376085","313.928","26.909","0.026","11944.439","243.764","50.001","2645.504","1116.281","4235.712","1958.285","6530.542","2853.969","7727.737","3459.728","6414.115","2872.044"
"MVZ120127","5694.514","2290.509","415237","232.9","32","0.024","9515.997","194.204","32.887","2171.851","875.615","3554.398","1503.235","5750.045","2268.408","7132.954","2846.501","5694.514","2290.509"
"MVZ120131","6484.12","2888.01","379322","364.488","32","0.026","14179.419","289.376","49.993","2685.558","1170.62","4220.368","1856.305","6569.394","2881.018","7913.454","3553.574","6484.12","2888.01"
"MVZ120132","5307.558","2450.312","317594","318.975","24.675","0.026","12105.366","247.048","48.136","2344.468","976.953","3600.472","1632.569","5487.146","2458.184","6244.848","2932.043","5307.558","2450.312"
"MVZ120133","5979.048","2697.214","400729","363.66","26.909","0.028","12928.794","263.853","62.37","2761.235","1109.134","4078.719","1805.376","6127.007","2689.471","7079.858","3248.777","5979.048","2697.214"
"MVZ174004","6667.242","2547.19","339518","358.363","34.896","0.027","13053.777","266.404","58.367","2697.754","958.712","4069.671","1579.043","6728.383","2566.603","8349.175","3135.196","6667.242","2547.19"
"MVZ174005","8097.581","3533.326","290945","483.362","26.909","0.027","17794.739","363.158","80.952","3891.584","1413.348","5625.813","2424.19","8196.713","3579.685","9580.161","4133.801","8097.581","3533.326"
"MVZ174006","7696.793","3399.271","313204","390.07","26.909","0.025","15581.534","317.99","52.724","3300.504","1405.99","5191.291","2342.588","7791.058","3421.202","9212.41","4018.757","7696.793","3399.271"
"MVZ176999","7298.649","2921.234","281881","384.78","22.627","0.026","14695.957","299.917","54.805","2891.763","1016.273","4629.797","1794.545","7402.029","2918.628","8910.269","3624.171","7298.649","2921.234"
"MVZ177000","6694.232","2410.182","319957","293.036","26.909","0.025","11583.219","236.392","32.382","2324.645","696.064","3805.011","1298.063","6664.797","2352.078","8733.706","3233.701","6694.232","2410.182"
"MVZ177001","7945.976","2896.752","334536","321.293","29.344","0.024","13239.619","270.196","45.575","2794.807","996.758","4775.059","1754.949","7933.167","2833.306","10075.411","3751.77","7945.976","2896.752"
"MVZ177002","7180.491","3516.244","296008","531.414","26.909","0.03","17452.385","356.171","101.517","2935.392","1190.006","4834.621","2278.143","7328.473","3516.725","8501.548","4246.194","7180.491","3516.244"
"MVZ177003","7512.902","2901.485","277891","400.172","26.909","0.028","14528.23","296.494","69.706","2871.285","1083.629","4790.442","1849.839","7607.503","2884.16","9163.612","3590.814","7512.902","2901.485"
"MVZ177004","7372.058","2428.623","342615","321.041","29.344","0.027","11953.181","243.942","46.894","2657.79","849.523","4472.792","1530.553","7408.766","2448.647","9254.96","3016.983","7372.058","2428.623"
"MVZ177005","8305.433","2805.624","231294","366.427","22.627","0.026","13982.103","285.349","55.745","3092.425","1091.891","5108.215","1907.438","8349.616","2831.452","10323.882","3348.294","8305.433","2805.624"
"MVZ177006","8635.597","3829.272","349251","458.696","20.749","0.026","17918.565","365.685","66.287","3156.644","1292.709","5553.199","2480.018","8750.83","3836.577","10417.566","4611.172","8635.597","3829.272"
"MVZ177009","8518.385","3495.327","318051","387.874","64","0.024","15835.242","323.168","51.529","3239.228","1335.1","5432.803","2367.644","8594.372","3496.26","10392.079","4183.744","8518.385","3495.327"
