"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ152933",16.57875,57.84375,25.85375,16.3025,1.42426253575,15.355,7.98757504305,0.730512493095,10.82,12.4475,27.755,24.14875,88.87625,0.20625,2.61125,7.607374999625,73.7325,12.89375,0.8775
"MVZ152934",16.05375,56.35625,27.06625,16.5775,1.421262533875,15.2925,8.1440750008,0.7572624958825,10.845,12.2725,29.5175,25.34875,87.77625,0.20625,2.52375,7.67737497425,86.0075,8.18125,0.8775
"MVZ102593",16.585,45.5,39,15.5,1.32189998715,16.995,23.677299612,1.80140000585,13.03,17.265,21.285,15.105,72.38,3.795,1.805,6.48099992305,13.745,15.935,1.3
"MVZ102594",16.585,45.5,39,15.5,1.32189998715,16.995,23.677299612,1.80140000585,13.03,17.265,21.285,15.105,72.38,3.795,1.805,6.48099992305,13.745,15.935,1.3
"MVZ102596",16.585,45.5,39,15.5,1.32189998715,16.995,23.677299612,1.80140000585,13.03,17.265,21.285,15.105,72.38,3.795,1.805,6.48099992305,13.745,15.935,1.3
"MVZ102600",11.95,58.15,28.65,13.2,1.07750000315,23.5,109.8120024,4.887999934,21.75,35.75,19.2,12.5,25,26.2,1.45,4.735000133,0,0.45,0.3
"MVZ102601",11.95,58.15,28.65,13.2,1.07750000315,23.5,109.8120024,4.887999934,21.75,35.75,19.2,12.5,25,26.2,1.45,4.735000133,0,0.45,0.3
"MVZ102604",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ102608",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ102610",12.4,38.325,43.85,17.825,1.3082499705,17.175,30.1637501175,2.26500002075,12.9,20.275,18.725,16.7,73.7,8.775,1.15,6.1624999615,0,6.825,1
"MVZ102612",14.625,55,32.65,12.35,1.196250007,20.275,51.2715004775,2.82699996675,17.575,22.85,12.4,6.425,29.85,27.5,1.3,5.022499943,0,5.65,0.475
